TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
KED72,"Eturauhasen mikroaaltohoito,uretra TUMT","Eturauhasen mikroaaltohoito virtsaputken kautta, TUMT","Transuretral mikrovågsbehandling av prostata, TUMT",1
KFH96,Muu kivesten/siemenjohtimien korjaus,Muu kivesten ja/tai siemenjohtimien korjausleikkaus,"Annan rekonstruktiv operation på testiklar, bitestiklar eller sädesledare",1
KGV00,Terskan kurouman palauttaminen,Terskan kurouman palauttaminen,Operation/manipulation vid parafimosis,1
KGV10,Esinahan kiinnikkeiden irrottelu,Esinahan kiinnikkeiden irrottelu,Lösning av preputiala adherenser,1
LAW96,Muu munasarjaleikkaus,Muu munasarjaleikkaus,Annan öppen operation på ovarium,1
LCD40,Laajennettu kohdunpoisto alakautta,Laajennettu kohdunpoisto emättimen kautta,Radikal vaginal hysterektomi,1
LDB10,Kohdun kaulan jäädytyshoito,Kohdunkaulan jäädytyshoito,Kryoterapi av portio eller cervix uteri,1
LFA20,Naisen ympärileikkauksen jälkitilan purku,Naisen ympärileikkauksen jälkitilan purku,Behandling av eftertillstånd vid kvinnlig omskärelse,1
MAJ00,Sikiöiden vähentäminen yhdellä,Sikiöiden vähentäminen yhdellä,Reduktion av multipel graviditet med ett foster,1
MBB96,Muu käsin suoritettu tmp synn jälkeen,Muu käsin suoritettu toimenpide synnytyksen jälkeen,Annat manuellt ingrepp på uterus efter förlossning,1
NA2CF,Rintarangan l.KKMT,Rintarangan laaja magneettitutkimus keskikenttälaitteella,"Bröstrygg, omfattande MR (under 1,5T)",1
NBC30,"Olkatekoniveluusinta,olkaluuosaluuosa","Olkapään tekonivelen uusintaleikkaus, olkaluuosa","Sekundär protesapplikation i skulderleden, humeruskomponenten",1
ND2DF,"Käden erittäin laaja magneettitutkimus (alle 1,5T)","Käden erittäin laaja magneettitutkimus (alle 1,5T)","Hand, mycket omfattande MR (under 1,5T)",1
NDC30,Ranteen kokotekonivelen uusintaleikkaus,Ranteen kokotekonivelen uusintaleikkaus,Reoperation för total protetisk substitution av led i handleden,1
NEJ86,Lantiomurtuman uusinta-/myöhäisleikkaus,Lantion murtuman uusinta- tai myöhäisleikkaus,Reoperation eller sen sekundäroperation för bäckenfraktur,1
NEK10,Lantion luun aukaisu tai poisto,Lantion luun aukaisu tai poisto,Incision/resektion av bäckenbenet/korsbenet/svansbenet,1
NFB99,Muu lonkan tekonivelleikkaus,Muu lonkan tekonivelleikkaus,Annan protesoperation på höftleden,1
NGD10,Polven nivelkierukan poisto,Polven nivelkierukan poisto,Öppen total exstirpation av menisk,1
NGH10,Polvinivelen/lumpion suljettu repositio,Polvinivelen tai lumpion sijoiltaanmenon suljettu paikalleenasetus,Sluten reposition av luxerad patella,1
NH3DF,"Jalkaterän erittäin laajaMT (alle 1,5T)","Jalkaterän erittäin laaja magneettitutkimus (alle 1,5T)","Fotblad, mycket omfattande MR (under 1,5 T)",1
NHH10,Nilkkanivelen/nilkkaluunivelen repositio,Nilkkanivelen tai tarsaalinivelen sijoiltaanmenon paikalleenasetus,Reposition av luxation i talocruralled eller tarsalled,1
NHH32,Nilkka/jalkaterätekonivelluksatiokorjaus,Nilkan tai jalkaterän tekonivelen sijoiltaanmenon korjaaminen,Reposition av luxerad protetisk led i fotleden och foten,1
PBP99,"Perkutaani arterioplastia, muu yläraajav","Valtimon korjaaminen suljetusti, muu yläraajan valtimo","Perkutan arterioplastik, annan artär i övre extremiteten",1
PD1QN,Keuhkoperfuusion ja ventilaation gammakuvaus,Keuhkoperfuusion ja ventilaation gammakuvaus,"Lungperfusion och ventilation, isotopundersökning",1
PDT05,A ren alap aorta kem.aine/sulj tuke,"Kemiallisen aineen ruiskuttaminen tai suonen tukkiminen suljetusti, munuaisvaltimon alapuolinen vatsa-aortta",Injektion av läkemedel i eller perkutan ocklusion av infrarenala bukaorta,1
PH07,,,,1
PH07W,,,,1
PH15T,,,,1
PH900,Laskimotukoksen suonensisäinen trombolyy,Laskimotukoksen suonensisäinen trombolyysi,Intravenöst trombolys,1
PHQ73,"Laskimostentti,v. iliaca","Laskimon sisäistutteen asettaminen, v. iliaca",Inläggande av endovaskulärt implantat i v. iliaca,1
QA2S1,"Päälaen, otsan, ohimoiden tai hiuspohjan  kuvaus","Päälaen, otsan, ohimoiden tai hiuspohjan ihon tai ihonalaiskudoksen valokuvaus","Fotografering av hud eller subkutan vävnad på hjässa, panna, tinningar eller hårbottnen",1
QA7S1,Leuan tai huulten ihon valokuvaus,Leuan tai huulten ihon tai ihonalaiskudoksen valokuvaus,Fotografering av hud eller subkutan vävnad på haka eller läppar,1
QAF10,Kulmakarv korj karvaisella iholl,"Kulmakarvojen korjaus iholla, jossa on karvoitus",Rekonstruktion av ögonbryn med hårbärande transplantat,1
QB3S1,Vatsan ihon valokuvaus,Vatsan ihon tai ihonalaiskudoksen valokuvaus,Fotografering av hud eller subkutan vävnad på buken,1
QB4S1,Nivusten ja sukuelinten alueen ihon valokuvaus,Nivusten ja sukuelinten alueen ihon tai ihonalaiskudoksen valokuvaus (edestäpäin),Fotografering av hud eller subkutan vävnad på ljumskar och genitalier (framifrån),1
QBE25,Vartalon palovamma-arven poisto/korjaus,Vartalon palovamma-arven poisto ja korjaus,Excision/revision av ärr efter brännskada på bålen,1
QC3S1,Kyynärpään tai kyynärtaipeen ihon valokuvaus,Kyynärpään tai kyynärtaipeen ihon tai ihonalaiskudoksen valokuvaus,Fotografering av hud eller subkutan vävnad på armbåge eller armveck,1
QD_,Alaraajan ihon dermatologiset tpt,Alaraajan ihon dermatologiset toimenpiteet,Nedre extemitet dermatologiska åtgärder,1
QD6S1,Jalkaterän ihon valokuvaus,Jalkaterän ihon tai ihonalaiskudoksen valokuvaus,Fotografering av hud eller subkutan vävnad på fotblad,1
QD7S1,Varpaiden  ihon valokuvaus,Varpaiden  ihon tai ihonalaiskudoksen valokuvaus,Fotografering av hud eller subkutan vävnad på tår,1
RP250,,,,1
RP630,,,,1
RP930,,,,1
S3110,,,,1
S3123,,,,1
S3142,,,,1
S3160,,,,1
SDA11,"Parodonthoito, komplis,laaja ja vaativa","Parodontologinen hoito, komplisoitu sairaus - laaja ja vaativa","Parodontologisk behandling, komplicerad sjukdom, omfattande och krävande",1
SDC10,"Parodontologinen kiskotus, suppea","Parodontologinen kiskotus, suppea","Parontologisk fixering, begränsad",1
SPA51,"Purennan ja hammaskaarten aseman määritys, vaativa","Purennan ja hammaskaarten aseman määritys, vaativa","Bestämning av ocklusion och tandbågarnas läge, krävande",1
SPB02,Tilap hammas/implrak sovitus ja va kiinn 4+ yks,"Tilapäisen tehdas- tai hammaslaboratoriovalmisteisen hammas- tai implanttikantoisen rakenteen sovitus ja väliaikainen kiinnittäminen, 4 tai useampia yksiköitä","Inprovning och tillfällig fastsättning av provisorisk tand- eller implantatburen konstruktion tillverkad på fabrik eller tandlaboratorium, 4 eller flera enheter.",1
SPC06,Kiinteä hammassillan väliosa tai sillan tai kruunu,Kiinteä hammassillan väliosa tai sillan tai kruunun ulokeosa,Fast mellanled i tandbro eller utskjutande del av krona eller bro,1
SPF42,"Hammas- tai implikr/sillan korjaus, vaativa","Hammaskruunun, -sillan tai implanttirakenteen korjaus, vaativa","Reparation av tandkrona, tandbro eller implantatkonstruktion, krävande",1
SPF62,"Hammasproteesin fasadin korjaus, vaativa","Hammasproteesin fasadin korjaus, vaativa","Reparation av fasad på tandprotes, krävande",1
SPF80,Hammasproteesin erit.kiin korjaus ja aktivointi,Hammasproteesin erityiskiinnikkeiden korjaus ja aktivointi,Reparation och aktivering av attachments för tandprotes,1
SPG03,Kasvojen ja suun alueen erityisproteesi,Kasvojen ja suun alueen erityisproteesi,Ansiktsproteser och specialproteser i munregionen,1
SPG05,"Kasvojen ja suun erityisproteesi, eritt vaativa","Kasvojen ja suun alueen erityisproteesi, erittäin vaativa","Ansiktsproteser och specialproteser i munregionen, mycket krävande",1
SPG07,Suun ja kasvojen alueen erityisproteesi,Suun ja kasvojen alueen erityisproteesi,Specialprotes i mun- och ansiktsområdet,1
SXA00,Märkivän hampaan avaus,Märkivän hampaan avaus,Öppnande av tand i gangren,1
TBA10,Neulakudosnäyteotto kilpirauhasesta,Neulakudosnäytteen otto kilpirauhasesta,Punktionsbiopsi av sköldkörteln,1
TCB00,Neulakudosnäyteotto silmäluomesta,Neulakudosnäytteen otto silmäluomesta,Punktionsbiopsi av ögonlock,1
TCC00,Neulakudosnäyteotto kyynelrauhanen,Neulakudosnäytteen otto kyynelrauhasesta,Punktionsbiopsi av tårkörtel,1
TCK00,Suoni-/verkkokalvon valoherkistäminen,Suonikalvon ja verkkokalvon valoherkistäminen,Fotosensitering av åderhinna och näthinna,1
TDM00,Neulakudosnäytteen otto poskiontelosta,Neulakudosnäytteen otto poskiontelosta,Punktionsbiopsi av käkhåla,1
TDP10,Neulakudosnäytteen otto kitaontelosta,Neulakudosnäytteen otto kitaontelosta,Punktionsbiopsi av sinus sphenoidalis,1
TEA10,Neulakudosnäytteen otto huulesta,Neulakudosnäytteen otto huulesta,Punktionsbiopsi av läpp,1
TJA55,Vatsaontelon injektiokanavan poistaminen,Vatsaontelon injektiokanavan poistaminen,Avlägsnande av intraperitoneal injektionsport,1
TJX10,Paik. hyyd. diatermialla tähystyksessä,Verenvuodon tai verisuonen hyydyttäminen tai poltto mahasuolikanavan tähystyksessä,Koagulation av blödning eller blodkärl med lokal diatermi i gastrointestinal endoskopi,1
TK830,Ultrafiltraatio,Ultrafiltraatio,Ultrafiltration,1
TKA10,Munuaisen tai munuaisaltaan pisto,Munuaisen tai munuaisaltaan pisto,Perkutan punktion av njure eller njurbäcken,1
TKC40,Virtsarakkoavanteen sulku,Virtsarakkoavanteen sulku,Slutning av vesicotomi,1
TNC11,Diagn/ther inj kyynärniv,Diagnostisen tai hoitavan aineen ruiskuttaminen kyynärniveleen,Injektion av diagnostisk eller terapeutisk substans i armbågsled,1
TNE01,"Ohutneulanäyte, lantion alue","Ohutneulanäyte, lantion alue",Finnålsbiopsi från bäckenregionen,1
TNF40,"Vetoon asettaminen, lonkkanivel tai reis","Vetoon asettaminen, lonkkanivel tai reisi","Externt sträck, höftled eller lår",1
TNG01,"Ohutneulanäyte, polvi tai sääri","Ohutneulanäyte, polvi tai sääri","Finnålsbiopsi, knä eller underben",1
TQW12,Biologinen haavanpuhdistus,Biologinen haavanpuhdistus,Biologisk debridering,1
UEN02,,,,1
utk,,,,1
WA010,Kokokehon sädehoito tukihoitona,Kokokehon sädehoito  muun syöpähoidon tukihoitona,Strålbehandling av hela kroppen som tillägg för annan cancerbehandling,1
WB301,Prim.kasv yks leik/sädeh ed biobast.hoit,Primaarikasvaimen yksinkertainen leikkausta tai sädehoitoa edeltävä hoito biovasteenmuuntajilla,Enkel neoadjuvant behandling av primärtumör med biomodifierande medel,1
WC215,Paik uus kasv monihorm.hoito,Paikallisen uusiutuneen kasvaimen monihormonihoito,Behandling av lokalt tumörrecidiv med multihormon,1
WC402,Paik. uusiu. kasv.vaat. vasta-ai.hoito,Paikallisesti uusiutuneen kasvaimen vaativa vasta-ainehoito,Krävande antikroppsbehandling av lokalt tumörrecidiv,1
WW806,Siirto alempihoitolaitos saattolääkäri,"Siirto hoitolaitoksesta porrastustasolla vähemmän vaativaan hoitoon, saattaja lääkäri",Transport med läkare från vårdanstat till mindre avancerad vårdnivå,1
WX736,Hengityshalvausstatus,Hengityshalvausstatus,Klinisk undersökning av andningsförlamningspatient,1
WXQ20,"UVA-valohoito, laajakaistainen","UVA-valohoito, laajakaistainen","Ljusbehandling, bredspektrum UVA",1
WZA20,Kardiorespiratorinen kokonaisarvio,Kardiorespiratorinen kokonaisarvio,Helhetsbedömning av kardiorespiratorisk status,1
X722,,,,1
X7308,,,,1
XF408,Ruokatorvi EKG,Ruokatorvi EKG,Esophageal EKG,1
XFP00,Ektooppifokuksen/johtoradan kartoitus,Ektooppisten lisälyöntien lähteen tai ektooppisen johtoradan kartoitus leikkauksen aikana,Intraoperativ kartläggning av ektopiskt fokus/ektopisk retledningsbana,1
XG416,Maksimaalisten hengitystiepaineiden mitt,Maksimaalisten hengitystiepaineiden mittaus,Mätning av maksimala luftvägstrycken,1
XG488,Hengitysteiden muu altistuskoe,Hengitysteiden muu altistuskoe,Annan provokation av andningsvägar,1
XJ100,Sekretiinitesti,Sekretiinitesti,Sekretintest,1
XJA01,Vatsaontelon ultraäänitutkimus LAP,Vatsaontelon ultraäänitutkimus vatsaontelon tähystyksessä,Laparoskopisk ultraljudsundersökning,1
XJC15,Ruokatorven toiminnan ja paineen seurant,Ruokatorven toiminnan ja paineen seuranta,Kontinuerlig uppföljning av matstrupens funktions och tryck,1
XJF00,Ultraäänitutkimus suoliavanteen kautta,Ultraäänitutkimus suoliavanteen kautta,Ultraljudsundersökning via entero/kolostomi,1
XKB00,Virtsanjohtimen urodynaaminentutkimus,Virtsanjohtimen urodynaaminentutkimus,Urodynamisk undersökning av uretär,1
XKC00,Rakon kaasukystometria,"Rakon urodynaaminen tutkimus, kaasukystometria",Urodynamisk undersökning av urinblåsan (gas),1
XQ811,Latex-altistus,Latex-altistus,Latex-provokation,1
XX3NW,,,,1
YA1CD,Pään er.l.annoss.TT,Pään ja kaulan erittäin laaja annossuunnittelu-TT,"Huvud- och halsregion, mycket omfattande DT för dosplanering",1
YJD10,Haiman osan irrotus elävältä,Haiman osan irrottaminen elinsiirtoa varten elävältä luovuttajalta,Uttagning av del av pankreas för transplantation från levande donator,1
YN7CD,Selkär.er.l.ann.s.TT,Selkärangan erittäin laaja annossuunnittelu-TT,"Ryggrad, mycket omfattande DT för dosplanering",1
Z2446,Sosiaalityöntekijä,Sosiaalityöntekijä,Socialarbetre,1
ZQX02,5-9% ihon pinta-alasta,5-9% ihon pinta-alasta,5-9% av hudarealen,1
ZX001,Yks hoid as simul tai hoitokon - SSD,Yksinkertainen hoidon asetus simulaattorilla tai hoitokoneella - SSD hoito,Enkel justering av strålbehandling med simulator och vårdmaskin - SSD behandling,1
ZX010,Saumattavat hoitoannokset - isosentrinen,Saumattavat hoitoannokset - isosentrinen hoito,Sammanfogade strålbehandlingsdoser - isocentrisk behandling,1
ZX190,Kasvaimen tai muutoksen sisään,Kasvaimen tai muutoksen sisään,Intralesional,1
ZXB00,"Sivun puoleinen, lateraalinen","Sivun puoleinen, lateraalinen",Lateralt,1
ZXC05,Ionisoitu kaasu,Ionisoitu kaasu,Användande av joniserad gas,1
ZXC13,Muu ei-ablatiivinen laser,Muu ei-ablatiivinen laser,Annan icke ablativ laser,1
ZXE06,Toimenpiteen kesto 50-59 minuuttia,Toimenpiteen kesto 50-59 minuuttia,Vårdåtgärdens tidsåtgång 50-59 min,1
ZXE13,Toimenpiteen kesto 90-119 minuuttia,Toimenpiteen kesto 90-119 minuuttia,Vårdåtgärdens tidsåtgång 90-119 min,1
ZXE21,Toimenpiteen kesto vähintään 3 mutta alle 4 tuntia,Toimenpiteen kesto vähintään 3 mutta alle 4 tuntia,"Vårdåtgärdens tidsåtgång minst 3 h, men under 4 h",1
ZXE90,Toimenpiteen kesto vähintään 21 alle 24 tuntia,Toimenpiteen kesto vähintään 21 mutta alle 24 tuntia,"Vårdkontakt minst 21 h, men under 24 h",1
ZXY52,Lääk-Psl.työpari,Lääkäri-psykologi-työpari,"Arbetspar, läkare+psykolog",1
ZXY82,Hoitaja-moniamm.tr,Hoitaja moniammatillisessa työryhmässä,Sjukskötare i multidisciplinär grupp,1
ZXY83,Sos.tt-moniamm.tr,Sosiaalityöntekijä  moniammatillisessa työryhmässä,Socialvårdare i multidisciplinär grupp,1
ZYB04,JALK/Potil kotiymp.,Potilaan koti- tai arkiympäristöön jalkautuva palvelu,Hembesök,1
ZYB06,JALK/Päiväkoti,Potilaan päiväkotiin jalkautuva palvelu,Besök hos dagvården,1
ZZA,Ihosiirteet,Ihosiirteet,Fria hudtransplantat,1
ZZB00,Patellajänne,Patellajänne,Transplantation av patellarsena,1
ZZH,Luu- ja luukalvokalvosiirteet,Luu- ja luukalvosiirteet,Fria periost/ben-transplantat,1
AA5DS,Aivojen aineenvaihdunnan PET-MRI,Aivojen aineenvaihdunnan PET-magneettitutkimus,"Hjärnmetabolism, PET-MRI",1
AAC15,Aivoaneurysman trapping,Aivovaltimopullistuman menevän ja tulevan valtimon sulkeminen,"Ligatur proximalt och distalt om intrakranialt aneurysm, trapping",1
AAD40,Kallon painumismurtuman nosto,Kallon painumismurtuman nosto,Elevation av impressionsfraktur,1
AAD42,Frontobasaalisen murtuman hoito,Frontobasaalisen murtuman hoito,Ingrepp för frontobasal fraktur,1
AAW02,Kallonsis injektiolatiteen asentami,Kallonsisäisen injektiolaitteen asettaminen,Implantation av intrakraniell injektioktions apparat,1
AAW99,Muu kallonsisäinen toimenpide,Muu kallonsisäinen toimenpide,Annan intrakranial operation,1
ABC13,Mikrokirurginen välilevyn poisto rintara,Mikrokirurginen välilevyn poisto rintarangasta,Mikrokirurgisk torakal diskbråcksoperation,1
ABC17,Lanneselän ekstraforaminaal välilevytyrän poisto,Lanneselän hermojuurikanavan ulkopuolelle suuntautuvan välilevytyrän poisto,Operation för extraforaminalt lumbalt diskbråck,1
ABE10,Selkäydintyrän korjaus,Selkäydintyrän korjaus,Exstirpation och plastik av myelo- eller meningocele,1
ACA15,Säärihermon tutkimusleikkaus,Säärihermon tutkimusleikkaus,Exploration av n. tibialis,1
ACA28,Koepalan otto hartiahermopunoksesta,Koepalan otto hartiahermopunoksesta,Biopsi av plexus brachialis,1
ACA91,Muu keskihermon tutkimusleikkaus,Muu keskihermon tutkimusleikkaus,Annan diagnostisk operation på n. medianus,1
ACB25,Säärihermon ompelu,Säärihermon ompelu,Sutur av n. tibialis,1
ACB91,Muu keskihermon paik muut leikk,Muu keskihermon paikallisen muutoksen leikkaus,Annan operation p.g.a. patologisk förändring eller skada på n. medianus,1
ACB93,Muu kyynärhermon paik muut leikk,Muu kyynärhermon paikallisen muutoksen leikkaus,Annan operation p.g.a. patologisk förändring eller skada på n. ulnaris,1
ACB96,Muu iskiashermon paik muut leikk,Muu iskiashermon paikallisen muutoksen leikkaus,Annan operation p.g.a. patologisk förändring eller skada på n ischiadicus,1
ACC11,Keskihermon katkaisu,Keskihermon katkaisu,Avskärning av n. medianus,1
ACC41,Keskihermon siirto uuteen tehtävään,Keskihermon siirto uuteen tehtävään,Transposition av n. medianus,1
ACC42,Värttinähermon siirto uuteen tehtävään,Värttinähermon siirto uuteen tehtävään,Transposition av n. radialis,1
ACC49,"Ääreisherm siirto uut teht,muu/määrtön","Ääreishermon siirto uuteen tehtävään, muu tai määrittämätön hermo",Transposition av annan eller ospecificerad nerv,1
ACC54,Pohjehermon vapautus,Pohjehermon vapautus,Dekompression av n. peroneus,1
ACC55,Säärihermon vapautus,Säärihermon vapautus,Dekompression av n. tibialis,1
ACC98,Muu hartiahermopunosn vaurion leikk,Muu hartiahermopunoksen vaurion leikkaus,Annan operation på plexus brachialis p.g.a. funktionella rubbningar,1
AEA30,Impl kesk.herm inj.laitt. pumpun vaihto,Kudoksen sisään asennetun keskushermoston injektiolaitteen pumpun vaihto,Utbyte av implanterad pump av injektionsapparat i nervsystemet,1
AEA40,Impl kesk.herm inj.laitt. pumpun poisto,Kudoksen sisään asennetun keskushermoston injektiolaitteen pumpun poisto,Uttagning av implanterad pump av injektionsapparat i nervsystemet,1
BCA11,Koepalan otto lisämunuaisesta tähyst,Koepalan otto lisämunuaisesta tähystyksessä,Endoskopisk biopsi av binjure,1
CAC20,Silmäkuop dekompressio temporaali,Silmäkuopan seinämän aukaisu temporaalisesti paineen alentamiseksi,Dekompressiv lateral orbitotomi,1
CAC30,Silmäkuopan dekompres sinus maxill,Silmäkuopan aukaisu paineen alentamiseksi poskiontelon suuntaan,Dekompressiv orbitotomi till sinus maxillaris,1
CBB16,Yläluomen rasvatyrän poisto,Yläluomen rasvatyrän poisto,Avlägsnande av fettbråck på övre ögonlocket,1
CBB22,Alaluom löyhä iho ja rasvatyr poisto sidekalv läpi,Alaluomen löyhän ihon  ja rasvatyrän poisto sidekalvon läpi,Avlägsnande av slapp hud och fettbråck på nedre ögonlocket genom bindhinnan,1
CBF40,Arpiektropiumin korjaamisleikkaus,Arpiektropiumin korjausleikkaus,Rekonstruktion för ärrektropium,1
CBH20,Luomiraon ompeleminen keskeltä,Luomiraon ompeleminen keskeltä,Central tarsorafi,1
CCA00,Kyynelrauhasen aukaisu,Kyynelrauhasen aukaisu,Incision av tårkörtel,1
CCB00,Kyynelrauhasen poisto osittain,Kyynelrauhasen poisto osittain,Resektion av tårkörtel,1
CCB10,Kyynelrauhasen poisto kokonaan,Kyynelrauhasen poisto kokonaan,Total exstirpation av tårkörtel,1
CCD10,Kyyneltiehyeen ompelu,Kyyneltiehyeen ompelu,Sutur av tårkanal,1
CCD20,Kyyneltiehyeen ompelu+putken asetus,Kyyneltiehyeen ompelu ja putken asettaminen,Sutur av tårkanal med intubation,1
CCD70,"Konjunkvokanalikulorinostom,Jonesput",Sidekalvo-kyynelpussi-nenäavanne Jonesin putkea käyttäen,Konjunktivocystorinostomi med inläggande av Jones' rör,1
CDC30,Silmän tyhjennys,Silmän tyhjennys,Evisceration av ögat,1
CEC50,Silmälihaksen tai -lihasten antepositio,Silmälihaksen tai -lihasten antepositio,Anteposition av ögonmuskel/-muskler,1
CEC60,"Silmälihas transpositio,säätöommel",Silmälihaksen transpositio säätöompeleella,Transposition av ögonmuskel med justerbar sutur,1
