ICD9	ICD9LYH	ICD9TXT
8050E	FR CERV,MURTUMALUKSA	KAULARANGAN MURTUMALUKSAATIO,EI SELKÄYDINVAURIOTA
8050X	FR VERT CERVICAL NUD	KAULARANGAN MÄÄRITTELEMÄTÖN MURTUMA,EI SELKÄYDINVAU
8052A	TH-RANKAFRAK,KOMPRES	RINTARANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURIOTA
8052B	"TH-RANKAFRAK,""BURST"""	"RINTARANGAN ""BURST""-MURTUMA,EI SELKÄYDINVAURIOTA"
8052C	TH-RANKAFR,STAB ARC	RINTARANGAN STAB ARCUS/PROC ARTIC-MURT,EI SPIN VAUR
8052D	TH-RANKAFR,INSTA ARC	RINTARANGAN INSTAB ARCUS/PROC ARTIC-MURT,EI SPIN
8052E	TH-RANKAFRA,MURT LUX	RINTARANGAN MURTUMALUKSAATIO,EI SELKÄYDINVAURIOTA
8052X	TH-RANKAFRAKT,NUD	RINTARANGAN MÄÄRITTELEMÄTÖN MURTUMA,EI SELKÄYDINVAU
8054A	L-RANKAFRAKT,KOMPRES	LANNERANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURIOTA
8054B	"L-RANKAFRAKT,""BURST"""	"LANNERANGAN ""BURST""-MURTUMA,EI SELKÄYDINVAURIOTA"
8054C	L-RANKAFRA,STAB ARC	LANNERANGAN STAB ARCUS/PROC ARTIC-MURT,EI SPIN VAUR
8054D	L-RANKAFR,INSTAB ARC	LANNERANGAN INSTAB ARCUS/PROC ARTIC-MURT,EI SPIN
8054E	L-RANKAFRA,MURT.LUKS	LANNERANGAN MURTUMALUKSAATIO,EI SELKÄYDINVAURIOTA
8054X	L-RANKAFRAKT, NUD	LANNERANGAN MÄÄRITTELEMÄTÖN MURTUMA,EI SELKÄYDINVAU
8056A	FR SACR/COCCY COMPRE	RISTI-HÄNTÄLUUN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURI
8056B	"FR SACR/COCCY""BURST"""	"RISTI-HÄNTÄLUUN ""BURST""-MURTUMA,EI SELKÄYDINVAURI"
8056C	FR SACR/COC STAB ARC	RISTI-HÄNTÄLUUN STAB ARCUS/PROC ARTIC-MURT,EI SPIN
8056D	FR SACR/COC INSTA AR	RISTI-HÄNTÄLUUN INSTAB ARCUS/PROC ARTIC-MURT,- SPIN
8056E	FR SACR/COCCY,LUXAT	RISTI-HÄNTÄLUUN MURTUMALUKSAATIO,EI SELKÄYDINVAURIO
8056X	FR SACR/COCCY NUD	RISTI-HÄNTÄLUUN MÄÄRITTELEMÄTÖN MURTUMA,EI SPIN VAU
8058A	FR COL VERT,KOMPRES	MUU SELKÄRANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURI
8058B	"FR COL VERT,""BURST"""	"MUU SELKÄRANGAN ""BURST""-MURTUMA,EI SELKÄYDINVAURI"
8058C	FR COL VERT,STAB ARC	MUU SELKÄRANGAN STAB ARCUS/PROC ARTIC-MURT,EI SPIN
8058D	FR COL VERT,INSTA AR	MUU SELKÄRANGAN INSTAB ARCUS/PROC ARTIC-MURT,- SPIN
8058E	FR COL VERT,MURT LUX	MUU SELKÄRANGAN MURTUMALUKSAATIO,EI SELKÄYDINVAURIO
8058X	FR COLUMN VERT,NUD	MUU SELKÄRANGAN MÄÄRITTELEMÄTÖN MURTUMA,EI SPIN VAU
8059A	SELKÄMURT NUD,KOMPRE	SELKÄRANGAN KOMPRESSIOMURTUMA NUD,EI SELKÄYDINVAURI
8059B	SELKÄMURT NUD,BURST	"SELKÄRANGAN ""BURST""-MURTUMA NUD,EI SELKÄYDINVAURI"
8059C	SELKÄMURT NUD,STAB A	SELKÄRANGAN STAB ARCUS/PROC ARTIC-MURT NUD ,EI SPIN
8059D	SELKÄMURT NUD,INSTAB	SELKÄRANGAN INSTAB ARCUS/PROC ARTIC-MURT NUD,- SPIN
8059E	SELKÄMURT NUD,LUKSAT	SELKÄRANGAN MURTUMALUKSAATIO NUD,EI SELKÄYDINVAURIO
8059X	SELKÄMURT NUD	SELKÄRANGAN MÄÄRITTELEMÄTÖN MURTUMA NUD ,EI SPIN VA
806	FR COL VERT,CUM SPIN	FRA COLUMNAE VERTEBRALIS CUM LAES.MEDULLAE SPINALI
8060A	FR CERV+MED LESIO-A	KAULARANGAN KOMPRESSIOMURTUMA JA SELKÄYDINVAURIO
8060B	FR CERV+MED LESIO-B	"KAULARANGAN ""BURST""-MURTUMA JA SELKÄYDINVAURIO"
8060C	FR CERV+MED LESIO-C	KAULARANGAN STAB ARCUS/PROC ARTIC-MURT JA SPIN VAUR
8060D	FR CERV+MED LESIO-D	KAULARANGAN INSTAB ARCUS/PROC ARTIC-MURT JA SPIN
8060E	FR CERV+MED LESIO-E	KAULARANGAN MURTUMALUKSAATIO JA SELKÄYDINVAURIO
8060X	FR CERV+MED LESIO-X	KAULARANGAN MÄÄRITTELEMÄTÖN MURTUMA JA SELKÄYDINVAU
8062A	TH FR COMPR,MEDLESIO	RINTARANGAN KOMPRESSIOMURTUMA JA SELKÄYDINVAURIO
8062B	TH FR BURST,MEDLESIO	"RINTARANGAN ""BURST""-MURTUMA JA SELKÄYDINVAURIO"
8062C	TH FR STAB ARC,MEDLE	RINTARANGAN STAB ARCUS/PROC ARTIC-MURT JA SPIN VAUR
8062D	TH FR INST ARC,MEDLE	RINTARANGAN INSTAB ARCUS/PROC ARTIC-MURT JA SPIN
8062E	TH FR LUXAT,MEDLESIO	RINTARANGAN MURTUMALUKSAATIO JA SELKÄYDINVAURIO
8062X	TH FR NUD,MEDLESIO	RINTARANGAN MÄÄRITTELEMÄTÖN MURTUMA JA SELKÄYDINVAU
8064A	LUMB FR COMPR,MEDLES	LANNERANGAN KOMPRESSIOMURTUMA JA SELKÄYDINVAURIO
8064B	LUMB FR BURST,MEDLES	"LANNERANGAN ""BURST""-MURTUMA JA SELKÄYDINVAURIO"
8064C	LUMB FR STAB ARC,MED	LANNERANGAN STAB ARCUS/PROC ARTIC-MURT JA SPIN VAUR
8064D	LUMBFR INSTA ARC,MED	LANNERANGAN INSTAB ARCUS/PROC ARTIC-MURT JA SPIN
8064E	LUMB FR LUXAT,MEDLES	LANNERANGAN MURTUMALUKSAATIO JA SELKÄYDINVAURIO
8064X	LUMB FR NUD,MEDLESIO	LANNERANGAN MÄÄRITTELEMÄTÖN MURTUMA JA SELKÄYDINVAU
8066A	FR SACR COMPR,MEDLES	RISTI-HÄNTÄLUUN KOMPRESSIOMURTUMA JA SELKÄYDINVAURI
8066B	FR SACR BURST,MEDLES	"RISTI-HÄNTÄLUUN ""BURST""-MURTUMA JA SELKÄYDINVAURIO"
8066C	FR SACR STAB ARC,MED	RISTI-HÄNTÄLUUN STAB ARCUS/PROC ARTIC-MURT JA SPIN
8066D	FR SACR INSTA AR,MED	RISTI-HÄNTÄLUUN INSTAB ARCUS/PROC ARTIC-MURT,+ SPIN
8066E	FR SACR LUXAT,MEDLES	RISTI-HÄNTÄLUUN MURTUMALUKSAATIO JA SELKÄYDINVAURIO
8066X	FR SACR NUD,MEDLESIO	RISTI-HÄNTÄLUUN MÄÄRITTELEMÄTÖN MURTUMA JA SPIN VAU
8068A	FR COL VERT,MEDLES-A	MUU SELKÄRANGAN KOMPRESSIOMURTUMA JA SELKÄYDINVAURI
8068B	FR COL VERT,MEDLES-B	"MUU SELKÄRANGAN ""BURST""-MURTUMA JA SELKÄYDINVAURIO"
8068C	FR COL VERT,MEDLES-C	MUU SELKÄRANGAN STAB ARCUS/PROC ARTIC-MURT JA SPIN
8068D	FR COL VERT,MEDLES-D	MUU SELKÄRANGAN INSTAB ARCUS/PROC ARTIC-MURT,+ SPIN
8068E	FR COL VERT,MEDLES-E	MUU SELKÄRANGAN MURTUMALUKSAATIO JA SELKÄYDINVAURIO
8068X	FR COL VERT,MEDLES-X	MUU SELKÄRANGAN MÄÄRITTELEMÄTÖN MURTUMA JA SPIN VAU
8069A	SELKÄMURT NU,MEDLE-A	SELKÄRANGAN KOMPRESSIOMURTUMA NUD JA SELKÄYDINVAURI
8069B	SELKÄMURT NU,MEDLE-B	"SELKÄRANGAN ""BURST""-MURTUMA NUD JA SELKÄYDINVAURIO"
8069C	SELKÄMURT NU,MEDLE-C	SELKÄRANGAN STAB ARCUS/PROC ARTIC-MURT NUD JA SPIN
8069D	SELKÄMURT NU,MEDLE-D	SELKÄRANGAN INSTAB ARCUS/PROC ARTIC-MURT NUD,+ SPIN
8069E	SELKÄMURT NU,MEDLE-E	SELKÄRANGAN MURTUMALUKSAATIO NUD JA SELKÄYDINVAURIO
8069X	SELKÄMURT NU,MEDLE-X	SELKÄRANGAN MÄÄRITTELEMÄTÖN MURTUMA NUD JA SPIN VAU
807	FR COST/STER/LAR/TRA	FRACTURA COSTAE, STERNI, LARYNGIS ET TRACHEAE
8070A	FRACTURA COSTAE	FRACTURA COSTAE
8072A	FRACTURA STERNI	FRACTURA STERNI
8074A	VARSTARINTA	VARSTARINTA
8075A	FR LARYNGIS/TRACHEA	FRACTURA LARYNGIS ET TRACHEAE
808	FRACTURA PELVIS	FRACTURA PELVIS
8080A	FRACTURA ACETABULI	FRACTURA ACETABULI, NON COMPLICATA
8081A	FR ACETABULI,COMPLIC	FRACTURA ACETABULI, COMPLICATA
8082A	FRACTURA OSSIS PUBIS	FRACTURA OSSIS PUBIS, NON COMPLICATA
8083A	FR OS PUBIS,COMPLICA	FRACTURA OSSIS PUBIS, COMPLICATA
8084A	FR PELVIS ALIA DEFIN	FRACTURA PELVIS ALIA DEFINITA, NON COMPLICATA
8085A	FR PELVIS AL,COMPLIC	FRACTURA PELVIS ALIA DEFINITA, COMPLICATA
8088X	FRACTURA PELVIS NUD	FRACTURA PELVIS NUD, NON COMPLICATA
8089X	FR PELV NUD, COMPLIC	FRACTURA PELVIS NUD, COMPLICATA
810	FRACTURA CLAVICULAE	FRACTURA CLAVICULAE
8100A	FRACTURA CLAVICULAE	FRACTURA CLAVICULAE NON COMPLICATA
8101A	FR CLAVICUL COMPLICA	FRACTURA CLAVICULAE COMPLICATA
811	FRACTURA SCAPULAE	FRACTURA SCAPULAE
8110A	FRACTURA SCAPULAE	FRACTURA SCAPULAE NON COMPLICATA
8111A	FR SCAPULAE COMPLICA	FRACTURA SCAPULAE COMPLICATA
812	FRACTURA HUMERI	FRACTURA HUMERI
8120A	FR HUMERI PART SUPER	FRACTURA HUMERI PARTIS SUPERIORIS NON COMPLICATA
8121A	FR HUMERI SUP,COMPLI	FRACTURA HUMERI PARTIS SUPERIORIS COMPLICATA
8122A	FR HUMERI DIAFYSEOS	FRACTURA HUMERI DIAPHYSEOS NON COMPLICATA
8123A	FR HUMER DIAFYS,COMP	FRACTURA HUMERI DIAPHYSEOS COMPLICATA
8124A	FR HUMERI PART INFER	FRACTURA HUMERI PARTIS INFERIORIS NON COMPLICATA
8125A	FR HUMER INFER,COMPL	FRACTURA HUMERI PARTIS INFERIORIS COMPLICATA
813	FRACTURA ANTEBRACHII	FRACTURA ANTEBRACHII
8130A	FRACTURA OLECRANI	FRACTURA OLECRANI NON COMPLICATA
8130B	FR CAPITULI RADII	FRACTURA CAPITULI RADII NON COMPLICATA
8130C	FRACTURA MONTEGGIA	FRACTURA MONTEGGIA NON COMPLICATA
8130X	FR ANTEBR PART SU AL	FRACTURA ANTEBRACHII PART SUPER ALIA NON COMPLICATA
8131A	FR OLECRANI COMPLICA	FRACTURA OLECRANI COMPLICATA
8131B	FR CAPIT RADII COMPL	FRACTURA CAPITULI RADII COMPLICATA
8131C	FR MONTEGGIA COMPLIC	FRACTURA MONTEGGIA COMPLICATA
8131X	FR ANTABR SUP COMPLI	FRACTURA ANTEBRACHII SUPERIORIS, COMPLICATA ALIA
8132A	FR RADII DIAPHYSARIA	FRACTURA RADII DIAPHYSARIA NON COMPLICATA
8132B	FR ULNAE DIAPHYSARIA	FRACTURA ULNAE DIAPHYSARIA NON COMPLICATA
8132X	FR RADII/ULNA DIAFYS	FRACTURA RADII ET ULNAE DIAPHYSARIA NON COMPLICATA
8133A	FR RADII DIAFY COMPL	FRACTURA PARTIS DIAPHYSEOS RADII, COMPLICATA
8133B	FR ULNAE DIAFY COMPL	FRACTURA PARTIS DIAPHYSEOS ULNAE, COMPLICATA
8133X	FR RAD/ULNA DIAF COM	FRACTURA PARTIS DIAPHYSEOS RADII ET ULNAE,COMPLICA
8134A	FR RAD TYPICA COLLES	FRACTURA RADII TYPICA COLLES,NON COMPLICATA
8134B	FR RADII DISTAL ALIA	FRACTURA RADII DISTALIS ALIA,NON COMPLICATA
8134C	FR ULNA DISTALIS ALI	FRACTURA ULNAE DISTALIS ALIA,NON COMPLICATA
8134X	FR RAD/ULNA DISTALIS	FRACTURA RADII ET ULNAE DISTALIS,NON COMPLICATA
8135A	FR COLLES COMPLICATA	FRACTURA COLLES COMPLICATA
8135B	FR RADII DIST COMPLI	FRACTURA RADII DISTALIS COMPLICATA
8135C	FR ULNAE DIST COMPLI	FRACTURA ULNAE DISTALIS COMPLICATA
8135X	FR RAD/ULNA DIST COM	FRACTURA RADII ET ULNAE DISTALIS COMPLICATA
814	FRACTURA OSSIS CARPI	FRACTURA OSSIS CARPI
8140A	FR NAVICULARIS CARPI	FRACTURA NAVICULARIS CARPI
8140B	FR LUNATI,SEMILUNARI	FRACTURA LUNATI (SEMILUNARIS)
8140C	FR TRIQUETRI,CUNEIFO	FRACTURA TRIQUETRI (CUNEIFORMIS)
8140D	FRACTURA  PISIFORMIS	FRACTURA PISIFORMIS
8140E	FR MULTANGULI MAJORI	FRACTURA MULTANGULI MAJORIS
8140F	FR MULTANGULI MINORI	FRACTURA MULTANGULI MINORIS
8140G	FRACTURA CAPITATI	FRACTURA CAPITATI
8140H	FRACTURA HAMATI	FRACTURA HAMATI
8140X	FR OS CARPI ALIA/NUD	FRACTURA OSSIS CARPI ALIA SEU NUD
815	FR OSSIS METACARPALI	FRACTURA OSSIS METACARPALIS
8150A	FR BASE METACARPI I	FRACTURA BASEOS METACARPI I, NON COMPLICATA
8150B	FR BASE METACARPI AL	FRACTURA BASEOS METACARPI ALIA, NON COMPLICATA
8150C	FR DIAFYS METACARPI	FRACTURA DIAPHYSEOS METACARPI, NON COMPLICATA
8150D	FR COLLI METACARPI	FRACTURA COLLI METACARPI, NON COMPLICATA
8150X	FR MULT/NUD METACARP	FRACTURA METACARPALIS MULTIPLEX/NUD,NON COMPLICATA
8151A	FR BASEOS MC I, COMP	FRACTURA BASEOS METACARPI I, COMPLICATA
8151B	FR BASE MC ALIA,COMP	FRACTURA BASEOS METACARPI ALIA, COMPLICATA
8151C	FR DIAFYS MC, COMPL	FRACTURA DIAPHYSEOS METACARPI, COMPLICATA
8151D	FR COLLI MC, COMPLI	FRACTURA COLLI METACARPI, COMPLICATA
8151X	FR MULTIP MC,COMPLI	FRACTURA OSSIS METACARPALIS MULTIPLEX/NUD,COMPLICAT
816	FRACT DIGITI MANUS	FRACTURA DIGITI MANUS
8160A	FR DIGITI 1. MANUS	FRACTURA DIGITI I MANUS, NON COMPLICATA
8160B	FR DIGITI 2. MANUS	FRACTURA DIGITI II MANUS, NON COMPLICATA
8160C	FR DIGITI 3. MANUS	FRACTURA DIGITI III MANUS, NON COMPLICATA
8160D	FR DIGITI 4. MANUS	FRACTURA DIGITI IV MANUS, NON COMPLICATA
8160E	FR DIGITI 5. MANUS	FRACTURA DIGITI V MANUS, NON COMPLICATA
8160X	FR DIG VARIORUM MANU	FRACTURA DIGITORUM VARIORUM MANUS,NON COMPLICATA
8161A	FR DIG 1.MANUS COMPL	FRACTURA DIGITI I MANUS, COMPLICATA
8161B	FR DIG 2.MANUS COMPL	FRACTURA DIGITI II MANUS, COMPLICATA
8161C	FR DIG 3.MANUS COMPL	FRACTURA DIGITI III MANUS, COMPLICATA
8161D	FR DIG 4.MANUS COMPL	FRACTURA DIGITI IV MANUS, COMPLICATA
8161E	FR DIG 5.MANUS COMPL	FRACTURA DIGITI V MANUS, COMPLICATA
8161X	FR DIG VARIO MAN COM	FRACTURA DIGITORUM VARIORUM MANUS, COMPLICATA
817	FR MULTIPL UNIUS MAN	FRACTURAE MULTIPLICES OSSIUM UNIUS MANUS
8170A	FR MULTIP UNIUS MANU	FRACT MULTIPLICES OSSIUM UNIUS MANUS NON COMPLICATA
8171A	FR MULT UNI MAN COMP	FRACT MULTIPLICES OSSIUM UNIUS MANUS COMPLICATAE
819	FR MULT EXT SUP/COST	MONIMURTUMA:YLÄRAAJAT,YLÄRAAJA+ KYLKILUU,RINTALASTA
8190A	FR MULT EXT SUP/COST	EI KOMP MONIMURT:YLÄRAAJAT,YLÄRAAJA+ KYLKIL,RINTALA
8191A	FR MULT EXT SUP COMP	KOMPL MONIMURT:YLÄRAAJAT,YLÄRAAJA+ KYLKIL,RINTALAST
820	FRACT COLLI FEMORIS	FRACTURA COLLI FEMORIS
8200A	FR COL FEM TRANSCERV	FRACTURA COLLI FEMORIS TRANSCERVICALIS,NON COMPLICA
8201A	FR TRANSCERVIC COMPL	FRACTURA COLLI FEMORIS TRANSCERVICALIS, COMPLICATA
8202A	FR PERTROCHANTERICA	FRACTURA COLLI FEMORIS PERTROCHANTERICA,NON COMPLIC
8203A	FR PERTROCHANT COMPL	FRACTURA COLLI FEMORIS PERTROCHANTERICA, COMPLICATA
8203B	FR SUBTROCHANTERICA	FRACTURA COLLI FEMORIS SUBTROCHANTERICA,NON COMPLIC
8203C	FR SUBTROCHANT COMPL	FRACTURA COLLI FEMORIS SUBTROCHANTERICA, COMPLICATA
8208X	FR COLLI FEMORIS NUD	FRACTURA COLLI FEMORIS NUD, NON COMPLICATA
8209X	FR COL FEM NUD COMPL	FRACTURA COLLI FEMORIS NUD, COMPLICATA
821	FR OSSIS FEMORIS NUD	FRACTURA PARTIS ALTERIUS OSSIS FEMORIS SEU NUD
8210A	FR DIAFYSEOS FEMORIS	FRACTURA DIAPHYSEOS FEMORIS,NON COMPLICATA
8210B	FR DIAF FEM COMMINUT	FRACTURA DIAPHYSEOS FEMORIS COMMINUTA,NON COMPLICA
8210X	FR PART ALTE OS FEMO	FRACT PARTIS ALTERIUS OSSIS FEMORIS,NON COMPLICATA
8211A	FR DIAFYS FEM COMPLI	FRACTURA DIAPHYSEOS FEMORIS, COMPLICATA
8211B	FR DIAF FEM COMM COM	FRACTURA DIAPHYSEOS FEMORIS COMMINUTA,COMPLICATA
8211X	FR PAR ALT FEM COMPL	FRACTURA PARTIS ALTERIUS OSSIS FEMORIS COMPLICATA
8212A	FR CONDY FEM LAT/MED	FRACT CONDYLI FEMORIS LATERALIS/MEDIALIS,NON COMPLI
8212B	FR FEM EPIF INFE FEM	FRACTURA EPIPHYSEOS INFERIORIS FEMORIS, NON COMPLIC
8212X	FR FEM PART AL INFER	FRACTURA FEMORIS PARTIS ALTER.INFERIORIS NON COMPLI
8213A	FR CONDYL FEM,COMPL	FRACT CONDYLI FEMORIS LATERALIS/MEDIALIS,COMPLICATA
8213B	FR FEM EPIF INF COMP	FRACTURA EPIPHYSEOS INFERIORIS FEMORIS,COMPLICA
8213X	FR FEM INFER AL COMP	FRACT FEMORIS PARTIS INFERIORIS ALTERIUS,COMPLICATA
822	FRACTURA PATELLAE	FRACTURA PATELLAE
8220A	FRACTURA PATELLAE	FRACTURA PATELLAE NON COMPLICATA
8221A	FR PATELLAE COMPLICA	FRACTURA PATELLAE COMPLICATA
823	FR TIBIAE ET FIBULAE	FRACTURA TIBIAE ET FIBULAE
8230A	FR TIB/FIB SUPERIORI	FRACTURA TIBIAE SEU FIBULAE SUPERIORIS,NON COMPLICA
8231A	FR TIB/FIB SUPE COMP	FRACTURA TIBIAE SEU FIBULAE SUPERIORIS, COMPLICATA
8232A	FR DIAPHYSEOS TIBIAE	FRACTURA DIAPHYSEOS TIBIAE, NON COMPLICATA
8232B	FR DIAPHYSEOS FIBULA	FRACTURA DIAPHYSEOS FIBULAE, NON COMPLICATA
8232C	FR DIAF TIBIA/FIBULA	FRACTURA DIAPHYSEOS TIBAE ET FIBULAE,NON COMPLICATA
8232D	FR DIAF TIB/FIB COMM	FRACT DIAPHYSEOS TIBIAE/FIBULAE COMMINUTA,NON COMPL
8233A	FR DIAF TIBIA COMPLI	FRACTURA DIAPHYSEOS TIBIAE, COMPLICATA
8233B	FR DIAF FIBULA COMPL	FRACTURA DIAPHYSEOS FIBULAE, COMPLICATA
8233C	FR DIAF TIB/FIB COMP	FRACTURA DIAPHYSEOS TIBAE ET FIBULAE, COMPLICATA
8233D	FR CRURIS COMMI COMP	FRACTURA DIAPHYSEOS TIBIAE/FIBULAE COMMINUTA, COMPL
824	FRACTURA MALLEOLARIS	FRACTURA MALLEOLARIS
8240A	FR MALLEOLI MEDIALIS	FRACTURA MALLEOLI MEDIALIS, NON COMPLICATA
8241A	FR MALLEO MED COMPLI	FRACTURA MALLEOLI MEDIALIS, COMPLICATA
8242A	FR MALLEOLI LATERALI	FRACTURA MALLEOLI LATERALIS, NON COMPLICATA
8243A	FR MALLEO LAT COMPLI	FRACTURA MALLEOLI LATERALIS, COMPLICATA
8244A	FR BIMALLEOLARIS	FRACTURA BIMALLEOLARIS, NON COMPLICATA
8245A	FR BIMALLEOLAR COMPL	FRACTURA BIMALLEOLARIS, COMPLICATA
8246A	FR TRIMALLEOLARIS	FRACTURA TRIMALLEOLARIS, NON COMPLICATA
8247A	FR TRIMALLEOLAR COMP	FRACTURA TRIMALLEOLARIS, COMPLICATA
8248X	FR MALLEOLARIS NUD	FRACTURA MALLEOLARIS NUD, NON COMPLICATA
8249X	FR MALLEO NUD, COMPL	FRACTURA MALLEOLARIS NUD, COMPLICATA
825	FR OS TARSAL/METATAR	FRACTURA OSSIS TARSALIS ET METATARSALIS
8250A	FRACTURA CALCANEI	FRACTURA CALCANEI, NON COMPLICATA
8251A	FR CALCANEI COMPLICA	FRACTURA CALCANEI, COMPLICATA
8252A	FRACTURA TALI	FRACTURA TALI, NON COMPLICATA
8252B	FR NAVICULARIS TARSI	FRACTURA NAVICULARIS TARSALIS, NON COMPLICATA
8252C	FR CUBOIDIS TARSI	FRACTURA CUBOIDIS TARSI, NON COMPLICATA
8252D	FR CUNEIFORMIS TARSI	FRACTURA CUNEIFORMIS TARSI, NON COMPLICATA
8252E	FR OSSIS METATARSALI	FRACTURA OSSIS METATARSALIS, NON COMPLICATA
8252F	FR TARS/METATARSALIS	FRACT OSSIS TARSALIS/METATARSALIS ALIA,NON COMPLICA
8253A	FR TALI, COMPLICATA	FRACTURA TALI, COMPLICATA
8253B	FR NAVICUL/TARS,COMP	FRACTURA NAVICULARIS TARSALIS,COMPLICATA
8253C	FR CUBOID TARSI COMP	FRACTURA CUBOIDES TARSI, COMPLICATA
8253D	FR CUNEIFOR TAR COMP	FRACTURA CUNEIFORMIS TARSI, COMPLICATA
8253E	FR METATARSALIS COMP	FRACTURA OSSIS METATARSALIS COMPLICATA
8253X	FR TARS/METATAR COMP	FRACTURA OSSIS TARSALIS/METATARSALIS ALIA,COMPLICAT
826	FRACT DIGITI PEDIS	FRACTURA DIGITI PEDIS
8260A	FRACT DIGITI PEDIS	FRACTURA DIGITI PEDIS NON COMPLICATA
8261A	FR DIG PED COMPLICA	FRACTURA DIGITI PEDIS COMPLICATA
827	FR EXTR INFER ALIA	FRACT ALIAE/MULTIPLICES/NUD UNIUS EXTREMIT INFERIOR
8270A	FR AL/MUL UN EXT INF	FRACT ALIAE/ MULTIPL/NUD UNIUS EXTR INFER,EI KOMPL
8271A	FR UN EXT INF AL COM	FRACT ALIAE/MULTIPL/NUD UNIUS EXTREM INFER,COMPLICA
828	FR MULT EXTR INF AMB	FR MULT.EXT.INF.AMBOR/EXT INF+SUP/EXT INF+COST,STER
8280A	FR MULT EXTR INF AMB	FR MULT.EXT.INF.AMBOR/EXT INF+SUP/EXT INF+COST,STER
8281A	FR MU EX INF AMB COM	FR MULT.EX.INF.AMB/EX INF+SUP/EX INF+COST,STER/COMP
830	LUXATIO MANDIBULAE	LUXATIO MANDIBULAE
8300A	LUXATIO MANDIBULAE	LUXATIO MANDIBULAE NON COMPLICATA
8301A	LUXATIO MANDIB COMP	LUXATIO MANDIBULAE COMPLICATA
831	LUXATIO SCAPUL TRAU	LUXATIO SCAPULAE TRAUMATICA
8310A	LUXATIO GLENOHUMERAL	LUXATIO SCAPULAE TRAUMATICA GLENOHUMERALIS,NON COMP
8310B	LUXATI ACROMIOCLAVIC	LUXATIO SCAPULAE TRAUM ACROMIOCLAVICULARIS,NON COMP
8311A	LUX GLENOHUMER COMPL	LUXATIO SCAPULAE TRAUMATICA GLENOHUMERALIS, COMPLIC
8311B	LUX ACROM.CLAVI COMP	LUXATIO SCAPULAE TRAUMAT. ACROMIOCLAVICULARIS,COMPL
832	LUXATIO CUBITI	LUXATIO CUBITI
8320A	LUX RADII/ULNAE CUBI	LUXATIO RADII ET ULNAE CUBITI, NON COMPLICATA
8320X	LUXATIO CUBITI ALIA	LUXATIO CUBITI ALIA, NON COMPLICATA
8321A	LUX RAD/ULN CUB COMP	LUXATIO RADII ET ULNAE CUBITI, COMPLICATA
8321X	LUXAT CUBITI AL COMP	LUXATIO CUBITI ALIA, COMPLICATA
833	LUXATIO CARPI	LUXATIO CARPI
8330A	LUXATIO INTERCARPALI	LUXATIO INTERCARPALIS, NON COMPLICATA
8330B	LUXATIO LUNATI CARPI	LUXATIO LUNATI CARPI, NON COMPLICATA
8330C	LUXA CARPOMETACARPAL	LUXATIO CARPOMETACARPALIS, NON COMPLICATA
8330X	LUXATIO CARPI ALIA	LUXATIO CARPI ALIA, NON COMPLICATA
8331A	LUX INTERCARP COMPL	LUXATIO INTERCARPALIS, COMPLICATA
8331B	LUX LUNATI CARP COMP	LUXATIO LUNATI CARPI, COMPLICATA
8331C	LUX CARPOMETACA COMP	LUXATIO CARPOMETACARPALIS, COMPLICATA
8331X	LUX CARPI ALIA COMPL	LUXATIO CARPI ALIA, COMPLICATA
834	LUXATIO DIGITI MANUS	LUXATIO DIGITI MANUS
8340A	LUX METACARPOPHALANG	LUXATIO METACARPOPHALANGEALIS, NON COMPLICATA
8340B	LUX INTERFALANG MANU	LUXATIO DIGITI MANUS INTERPHALANGEALIS, NON COMPLIC
8341A	LUX METACARPOFAL COM	LUXATIO METACARPOPHALANGEALIS, COMPLICATA
8341B	LUX INTERFAL MAN COM	LUXATIO DIGITI MANUS INTERPHALANGEALIS, COMPLICATA
835	LUXATIO COXAE	LUXATIO COXAE
8350A	LUXATIO COXAE	LUXATIO COXAE NON COMPLICATA
8351A	LUXATIO COXAE COMPLI	LUXATIO COXAE COMPLICATA
836	LUX GENUS/TR MENISCO	LUXATIO GENUS SEU TRAUMATA MENISCORUM
8360A	RUPTURA MENISCI MEDI	RUPTURA MENISCI MEDIALIS
8361A	RUPTURA MENISCI LATE	RUPTURA MENISCI LATERALIS
8362A	RUPT MENIS/CARTIL AL	RUPTURA MENISCI SEU CARTILAGINIS ALIA
8363A	LUXATIO PATELLAE	LUXATIO PATELLAE, NON COMPLICATA
8364A	LUXAT PATELLAE,COMPL	LUXATIO PATELLAE, COMPLICATA
8365A	LUXATIO GENUS	LUXATIO GENUS, NON COMPLICATA
8365B	LUX GEN+LES NER/VASO	LUXATIO GENUS,NON COMPL CUM LAESIONE NERVI/VASORUM
8366A	LUXATIO GENUS, COMPL	LUXATIO GENUS, COMPLICATA
8366B	LUX GEN COMP+LES NER	LUXATIO GENUS COMPLICATA,CUM LAESIONE NERVI/VASORUM
837	LUXATIO TALOCRURALIS	LUXATIO TALOCRURALIS
8370A	LUXATIO TALOCRURALIS	LUXATIO TALOCRURALIS NON COMPLICATA
8371A	LUX TALOCRURAL COMPL	LUXATIO TALOCRURALIS COMPLICATA
