ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
E803E,"MUU AJO TAPAT YL,PP","MUUN AJON AIH TAPAT YL LIIKAL,POLKUPYÖR/KULJET",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
E803F,"MUU AJO TAPAT YL,JAL","MUUN AJON AIH TAPAT YL LIIKAL,JALANKULKIJA",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
E803X,"MUU AJO TAPAT YL,MUU","MUUN AJON AIH TAPAT YL LIIKAL,MUU/TUNTEM HENK",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
E804A,"MU AJO TAP EI YL,KUL","MUUN AJON TAPAT MUU KUIN YL AL,KULJ TAI HENKIL",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E804B,"MU AJO TAP EI YL,MAT","MUUN AJON TAPAT MUU KUIN YL AL,MATKUSTAJA",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E804C,"MU AJO TAP EI YL,MP","MUUN AJON TAPAT MUU KUIN YL AL,MP-KULJ/MATK",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E804D,"MU AJO TAP EI YL,MOP","MUUN AJON TAPAT MUU KUIN YL AL,MOPOIL/MATKUST",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E804E,"MU AJO TAP EI YL,PP","MUUN AJON TAPAT MUU KUIN YL AL,POLKUPYÖR/KULJET",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E804F,"MU AJO TAP EI YL,JAL","MUUN AJON TAPAT MUU KUIN YL AL,JALANKULKIJA",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E804X,"MU AJO TAP EI YL,MUU","MUUN AJON TAPAT MUU KUIN YL AL,MUU/TUNTEM HENK",E80.4,NA,no_match,E804,"Fall in, on or from railway train",parent_match,0
E810A,"HUK VESILIIK,PIENVEN","HUKKUMINEN VESILIIK,MOOTTORITTOM PIENVEN OLLUT HENK",E81.0,NA,no_match,E810,Motor vehicle traffic accident involving collision with train,parent_match,1
E810B,"HUKK VESILIIK,PUR/MO","HUKKUMINEN VESILIIK,PURJE/MOOTTORIVEN OLLUT HENK",E81.0,NA,no_match,E810,Motor vehicle traffic accident involving collision with train,parent_match,1
E810C,"HUKK VESILIIK,MUU AL","HUKKUMINEN VESILIIK,MUUSSA ALUKSESSA OLLUT HENKILÖ",E81.0,NA,no_match,E810,Motor vehicle traffic accident involving collision with train,parent_match,1
E810D,"HUKK VESILIIK,URHVÄL","HUKKUMINEN VESILIIK,VESIURHEILUVÄL OLLUT HENKILÖ",E81.0,NA,no_match,E810,Motor vehicle traffic accident involving collision with train,parent_match,1
E810E,"HUKK VESILIIK,UIMARI","HUKKUMINEN VESILIIKENTEESSÄ,UIMARI",E81.0,NA,no_match,E810,Motor vehicle traffic accident involving collision with train,parent_match,1
E810X,"HUKK VESILIIK,MUU","HUKKUMINEN VESILIIK,MUU TAI TUNTEMATON HENKILÖ",E81.0,NA,no_match,E810,Motor vehicle traffic accident involving collision with train,parent_match,1
E819A,"MUU VESILTAPAT,PIENV","MUU VESILIIKTAPAT,MOOTTORITT PIENVEN OLLUT HENKILÖ",E81.9,NA,no_match,E819,Motor vehicle traffic accident of unspecified nature,parent_match,0
E819B,"MUU VESILTAPAT,PUR/M","MUU VESILIIKTAPAT,PURJE/MOOTTORIVENEESSÄ OLLUT HENK",E81.9,NA,no_match,E819,Motor vehicle traffic accident of unspecified nature,parent_match,0
E819C,"MUU VESILTAPAT,M ALU","MUU VESILIIKTAPAT,MUUSSA ALUKSESSA OLLUT HENKILÖ",E81.9,NA,no_match,E819,Motor vehicle traffic accident of unspecified nature,parent_match,0
E819D,"MUU VESILTAPAT,URHVÄ","MUU VESILIIKTAPAT,VESIURHEILUVÄLINEESSÄ OLLUT HENK",E81.9,NA,no_match,E819,Motor vehicle traffic accident of unspecified nature,parent_match,0
E819E,"MUU VESILTAPAT,UIMAR","MUU VESILIIKTAPAT,UIMARI",E81.9,NA,no_match,E819,Motor vehicle traffic accident of unspecified nature,parent_match,0
E819X,"MUU VESILTAPAT,MUU","MUU VESILIIKTAPAT,MUU TAI TUNTEMATON HENKILÖ",E81.9,NA,no_match,E819,Motor vehicle traffic accident of unspecified nature,parent_match,0
E820A,TAPAT MOOTTKONEILMAI,TAPATURMAT MOOTTORIKONEILMAILUSSA,E82.0,NA,no_match,E820,Nontraffic accident involving motor-driven snow vehicle,unique_parent_match,0
E821A,PURJELENTOTAPATURMAT,PURJELENTOTAPATURMAT,E82.1,NA,no_match,E821,Nontraffic accident involving other off-road motor vehicle,unique_parent_match,0
E822A,LASKUVARJOHYPPYTAPAT,LASKUVARJOHYPPY TAPATURMAT,E82.2,NA,no_match,E822,Other motor vehicle nontraffic accident involving collision with moving object,unique_parent_match,0
E829A,MUUT ILMAILUTAPATURM,MUUT ILMAILUTAPATURMAT,E82.9,NA,no_match,E829,Other road vehicle accidents,unique_parent_match,1
E830A,MUUT KULJ/AJONTAPAT,MUUT KULJETUS- JA AJONEUVOTAPATURMAT,E83.0,NA,no_match,E830,Accident to watercraft causing submersion,unique_parent_match,0
E840A,TAPATURM LÄÄKEMYRK,TAPATURMAINEN LÄÄKEMYRKYTYS,E84.0,NA,no_match,E840,Accident to powered aircraft at takeoff or landing,unique_parent_match,1
E850A,MUU TAPAT MYRKYTYS,MUU TAPATURMAINEN MYRKYTYS,E85.0,NA,no_match,E850,"Accidental poisoning by analgesics, antipyretics, antirheumatics",unique_parent_match,0
E860A,"TOIMPVAH,HAAV/PUNKT","TOIMENPIDEVAHINKO HAAVA, PUNKTIO, PERF TAI VERENV",E86.0,NA,no_match,E860,"Accidental poisoning by alcohol, not elsewhere classified",unique_parent_match,0
E861A,TOIMPVAH VIERASESINE,TOIMENPIDEVAHINKO POTILAASEEN JÄÄNEET VIERAAT ESIN,E86.1,NA,no_match,E861,"Accidental poisoning by cleansing and polishing agents, disinfectants, paints and varnishes",unique_parent_match,0
E862A,ASEPTIIKAN EPÄONNIST,ASEPTIIKAN EPÄONNISTUMINEN,E86.2,NA,no_match,E862,"Accidental poisoning by petroleum products, other solvents and their vapours, not elsewhere classified",unique_parent_match,0
E863A,HOIDON ANNOSTUSVIRHE,HOIDON ANNOSTUSVIRHE,E86.3,NA,no_match,E863,Accidental poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilisers,unique_parent_match,0
E864A,TOIMPVAH LAIT RIKKOU,TOIMENPIDEVAHINKO LAITTEEN TAI INSTRUMENTIN RIKKOUT,E86.4,NA,no_match,E864,"Accidental poisoning by corrosives and caustics, not elsewhere classified",unique_parent_match,0
E865A,TOIMPVAH INF EPÄPUHT,TOIMENPIDEVAHINKO INFUS AIN EPÄPUHT JOHTUVA,E86.5,NA,no_match,E865,Accidental poisoning from foodstuffs and poisonous plants,unique_parent_match,0
E869A,TOIMENPIDEVAH MUU,TOIMENPIDEVAHINKO MUU TAI TARKEMMIN MÄÄRITTELEMÄTÖN,E86.9,NA,no_match,E869,Accidental poisoning by other gases and vapours,unique_parent_match,0
E870A,LEIKKTOIMPIT HAITTA,LEIKKAUSTOIMENPITEESEEN LIITTYVÄ HAITTAVAIKUTUS,E87.0,NA,no_match,E870,"Accidental cut, puncture, perforation or haemorrhage during medical care",unique_parent_match,0
E879A,MUU TOIMPIT HAITTA,MUUHUN TOIMENPITEESEEN LIITTYVÄ HAITTAVAIKUTUS,E87.9,NA,no_match,E879,"Other procedures, without mention of misadventure at the time of procedure, as the cause of abnormal reaction of patient, or of later complication",unique_parent_match,0
E880A,KAATUM/PUTOAM PORT,KAATUMINEN TAI PUTOAMINEN PORTAISSA,E88.0,NA,no_match,E880,Fall on or from stairs or steps,unique_parent_match,0
E881A,MATALALTA PUTOAM <1M,MATALALTA PUTOAMINEN (1 M TAI ALLE),E88.1,NA,no_match,E881,Fall on or from ladders or scaffolding,unique_parent_match,1
E882A,KORKEALTA PUTOAM >1M,KORKEALTA PUTOAMINEN (YLI 1 M ),E88.2,NA,no_match,E882,Fall from or out of building or other structure,unique_parent_match,0
E883A,KOMP/LIUK SAM TASOLL,KOMPASTUMINEN TAI LIUKASTUMINEN SAMALLA TASOLLA,E88.3,NA,no_match,E883,Fall into hole or other opening in surface,unique_parent_match,0
E889A,MUU PUTOAM/KAATUM,MUU TAI TARKEMMIN MÄÄRITT PUTOAMINEN TAI KAATUMINEN,E88.9,NA,no_match,,,no_match,0
E890A,TULIPALO RAKENNUKSES,TULIPALO RAKENNUKSESSA,E89.0,NA,no_match,E890,Conflagration in private dwelling,unique_parent_match,0
E891A,TULIP MUU KUIN RAKEN,TULIPALO MUUALLA KUIN RAKENNUKSESSA,E89.1,NA,no_match,E891,Conflagration in other and unspecified building or structure,unique_parent_match,0
E892A,VAAT/VUODEVAA SYTTYM,VAATTEIDEN TAI VUODEVAATTEIDEN SYTTYMINEN,E89.2,NA,no_match,E892,Conflagration not in building or structure,unique_parent_match,0
E893A,ER TULARK AIN SYTTYM,ERITTÄIN TULENARKOJEN AIN SYTTYMINEN JA LEIMAHTAM,E89.3,NA,no_match,E893,Accident caused by ignition of clothing,unique_parent_match,0
E894A,VART TUL AIH TAPAT,VARTIOIDUN TULEN AIHEUTTAMA TAPATURMA,E89.4,NA,no_match,E894,Ignition of highly inflammable material,unique_parent_match,0
E899A,MUU TULIPALO,MUU TAI TARKEMMIN MÄÄRITTELEMÄTÖN TULIPALO,E89.9,NA,no_match,E899,Accident caused by unspecified fire,unique_parent_match,0
E900A,KUUMUUS,KUUMUUS,E90.0,NA,no_match,E900,Excessive heat,unique_parent_match,0
E901A,KYLMYYS,KYLMYYS,E90.1,NA,no_match,E901,Excessive cold,unique_parent_match,0
E902A,KORK/MAT ILMANPAINE,KORKEA TAI MATALA ILMANPAINE JA ILMANPAINEEN MUUT,E90.2,NA,no_match,E902,High and low air pressure and changes in air pressure,unique_parent_match,0
E903A,NÄLKÄ/JANO/NÄÄNTYMIN,"NÄLKÄ, JANO JA NÄÄNTYMINEN RUOAN TAI JUOMAN PUUTT",E90.3,NA,no_match,E903,Travel and motion,unique_parent_match,0
E904A,KÄÄRMEEN AIH MYRKYT,KÄÄRMEEN AIHEUTTAMA MYRKYTYS TAI TOKSINEN REAKTIO,E90.4,NA,no_match,E904,"Hunger, thirst, exposure, neglect",parent_match,0
E904B,HYÖNT MYRK/TOKS REAK,HYÖNTEISEN AIHEUTTAMA MYRKYTYS TAI TOKSINEN REAKT,E90.4,NA,no_match,E904,"Hunger, thirst, exposure, neglect",parent_match,0
E904C,KASVIN MYRK/TOKS REA,KASVIN AIHEUTTAMA MYRKYTYS TAI TOKSINEN REAKTIO,E90.4,NA,no_match,E904,"Hunger, thirst, exposure, neglect",parent_match,0
E904X,MUU LUON MYRK/TOKS,MUU LUONNOSSA SYNTYNYT MYRKYTYS TAI TOKSINEN REAKT,E90.4,NA,no_match,E904,"Hunger, thirst, exposure, neglect",parent_match,0
E905A,ELÄINTEN PUREMAT,ELÄINTEN PUREMAT,E90.5,NA,no_match,E905,Venomous animals and plants as the cause of poisoning and toxic reactions,parent_match,0
E905X,ELÄIN AIH MUU VAMMAT,ELÄINTEN AIHEUTTAMAT MUUT VAMMAT,E90.5,NA,no_match,E905,Venomous animals and plants as the cause of poisoning and toxic reactions,parent_match,0
E906A,SALAMANISKU,SALAMANISKU,E90.6,NA,no_match,E906,Other injury caused by animals,unique_parent_match,1
E907A,TULVA,TULVA,E90.7,NA,no_match,E907,Lightning,unique_parent_match,1
E909X,LUONILM AIH MU TAPAT,LUONNONILMIÖIDEN AIHEUTTAMAT MUUT TAPATURMAT,E90.9,NA,no_match,E909,Cataclysmic earth surface movements and eruptions,unique_parent_match,0
E910A,HUKKUMINEN UIMA-ALT,HUKKUMINEN UIMA-ALTAASSA,E91.0,NA,no_match,E910,Accidental drowning and submersion,parent_match,0
E910B,HUKKUMINEN MUUAL UID,HUKKUMINEN MUUALLA UIDESSA,E91.0,NA,no_match,E910,Accidental drowning and submersion,parent_match,0
E910C,HUKKUMIN VESIURH YHT,HUKKUMINEN VESIURHEILUN YHTEYDESSÄ,E91.0,NA,no_match,E910,Accidental drowning and submersion,parent_match,0
E910D,RANN/LAIT PUT HUKKUM,RANNALTA TAI LAITURILTA PUTOAMISEN AIH HUKKUMINEN,E91.0,NA,no_match,E910,Accidental drowning and submersion,parent_match,0
E910E,VAJOAMINEN JÄIHIN,VAJOAMINEN JÄIHIN,E91.0,NA,no_match,E910,Accidental drowning and submersion,parent_match,0
E910X,MUUHUKKUMINEN,HUKKUMINEN MUULLA TAVALLA,E91.0,NA,no_match,E910,Accidental drowning and submersion,parent_match,0
E911A,RUOAN AIH TUKEHT,RUOAN AIHEUTTAMA TUKEHTUMINEN,E91.1,NA,no_match,E911,Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation,parent_match,0
E911X,TUKEHT HENG MUU TUK,MUU HENGITYSTEIDEN TUKKEUTUMISESTA JOHTUVA TUKEHT,E91.1,NA,no_match,E911,Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation,parent_match,0
E912A,TUKEHT TAPAT ULK SYY,TAPATURM MEK TUKEHT TAI MUUSTA ULK SYYSTÄ TUKEHT,E91.2,NA,no_match,E912,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,unique_parent_match,0
E913A,TAPAT SILM VIERASES,TAPATURMAISESTI SILMÄÄN JOUTUNUT VIERASESINE,E91.3,NA,no_match,E913,Accidental mechanical suffocation,unique_parent_match,0
E914A,TAPAT RUUM AU VIERES,TAPATURMAISESTI MUUHUN RUUMIIN AUKKOON JOUT VIERASE,E91.4,NA,no_match,E914,Foreign body accidentally entering eye and adnexa,unique_parent_match,0
E920A,PUTOAVA ESINE,PUTOAVA ESINE,E92.0,NA,no_match,E920,Accidents caused by cutting and piercing instruments or objects,parent_match,0
E920X,MUU TÖRMÄYS TAI ISKU,MUU TÖRMÄYS TAI ISKU ESINEESEEN TAI IHMISEEN,E92.0,NA,no_match,E920,Accidents caused by cutting and piercing instruments or objects,parent_match,0
E921A,TAPAT PURIST JOUTUM,TAPATURMAISESTI PURISTUKSIIN JOUTUMINEN,E92.1,NA,no_match,E921,Accident caused by explosion of pressure vessel,unique_parent_match,0
E922A,KONETAPATURMAT,KONETAPATURMAT,E92.2,NA,no_match,E922,Accident caused by firearm missile,unique_parent_match,0
E923A,LEIK/PIST ESIN TAPAT,LEIKKAAVIEN TAI PISTÄVIEN TYÖKAL JA ESIN AIH TAPAT,E92.3,NA,no_match,E923,Accident caused by explosive material,unique_parent_match,0
E924A,PAINEASTIAN RÄJÄHDYS,PAINEASTIAN RÄJÄHDYS,E92.4,NA,no_match,E924,"Accident caused by hot substance or object, caustic or corrosive material and steam",parent_match,0
E924B,RÄJÄHDYSAIN RÄJÄHDYS,RÄJÄHDYSAINEEN RÄJÄHDYS,E92.4,NA,no_match,E924,"Accident caused by hot substance or object, caustic or corrosive material and steam",parent_match,0
E924C,ILOTULVÄL RÄJÄHDYS,ILOTULITUSVÄLINEEN RÄJÄHDYS,E92.4,NA,no_match,E924,"Accident caused by hot substance or object, caustic or corrosive material and steam",parent_match,0
E924X,MUU/MÄÄRIT RÄJÄHDYS,MUU TAI MÄÄRITTELEMÄTÖN RÄJÄHDYS,E92.4,NA,no_match,E924,"Accident caused by hot substance or object, caustic or corrosive material and steam",parent_match,0
E925A,AMPUMISTAPATURMAT,AMPUMISTAPATURMAT,E92.5,NA,no_match,E925,Accident caused by electric current,unique_parent_match,0
E926A,KOTITALOUSVIRTA,KOTITALOUSVIRTA,E92.6,NA,no_match,E926,Exposure to radiation,parent_match,1
E926B,VOIMAVIRTA,VOIMAVIRTA,E92.6,NA,no_match,E926,Exposure to radiation,parent_match,1
E926X,MUU/MÄÄRIT SÄHKÖVIRT,MUU TAI MÄÄRITTELEMÄTÖN SÄHKÖVIRTA,E92.6,NA,no_match,E926,Exposure to radiation,parent_match,1
E927A,KUUM AIN/SYÖV TAPAT,KUUMAN AINEEN/ESINEEN/SYÖV NEST/HÖYR AIH TAPAT,E92.7,NA,no_match,E927,Overexertion and strenuous movements,unique_parent_match,0
E928A,ALTIST SÄTEILYLLE,ALTISTUMINEN SÄTEILYLLE,E92.8,NA,no_match,E928,Other and unspecified environmental and accidental causes,unique_parent_match,0
E929A,YLIRAS AIH TAPATURMA,YLIRASITUS JA KESTOKYVYN YLIT LIIKK AIH TAPAT,E92.9,NA,no_match,E929,Late effects of accidental injury,parent_match,0
E929B,MELUALTISTUS,MELUALTISTUS,E92.9,NA,no_match,E929,Late effects of accidental injury,parent_match,0
E929C,TÄRINÄALTISTUS,TÄRINÄALTISTUS,E92.9,NA,no_match,E929,Late effects of accidental injury,parent_match,0
E929X,MUUT/MÄÄRIT TAPATURM,MUUT TAI MÄÄRITTELEMÄTTÖMÄT TAPATURMAT,E92.9,NA,no_match,E929,Late effects of accidental injury,parent_match,0
E930,ANTIBIOOTIT,ANTIBIOOTIT,E93.0,NA,no_match,E930,Antibiotics,full_match,0
E930A,PENISILLIINIT,PENISILLIINIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930B,ANTIMYKOOTIT,ANTIMYKOOTIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930C,KLORAMFENIKOLI,KLORAMFENIKOLI,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930D,ERYTROMYSIINIT,ERYTROMYSIINIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930E,TETRASYKLIINIT,TETRASYKLIINIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930F,KEFALOSPORIIN,KEFALOSPORIINIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930G,TUBERKULOOSILÄ,TUBERKULOOSILÄÄKKEET,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930W,MUUT ANTIBIOOT,MUUT MÄÄRITELLYT ANTIBIOOTIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E930X,MÄÄRIT ANTIBIO,MÄÄRITTELEMÄTTÖMÄT ANTIBIOOTIT,E93.0,NA,no_match,E930,Antibiotics,parent_match,0
E931,MUUT KEMOT-AIN,MUUT KEMOTERAPIA-AINEET,E93.1,NA,no_match,E931,Other anti-infectives,full_match,0
E931A,SULFONAMIDIT,SULFONAMIDIT,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E931B,KINOL/HYDRKINOL,KINOLIINI- JA HYDROKSIKINOLIINIJOHDOKSET,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E931C,MALARIALÄÄKKEET,MALARIALÄÄKKEET,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E931D,ALKUELÄIN LÄÄK,ALKUELÄIMIIN VAIKUTTAVAT LÄÄKKEET,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E931E,MATOLÄÄKKEET,MATOLÄÄKKEET,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E931F,VIRUSLÄÄKKEET,VIRUSLÄÄKKEET,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E931X,MUUT INFLÄÄK,MUUT JA MÄÄRITTELEMÄTTÖMÄT INFEKTIOLÄÄKKEET,E93.1,NA,no_match,E931,Other anti-infectives,parent_match,0
E932,HORMON+VASTIN,HORMONIT JA SYNTEETTISET VASTINEET,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,full_match,0
E932A,LISÄM KUORIHORM,LISÄMUNUAISEN KUORIKERROSHORMONIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932B,ANDROG/AN STER,ANDROGEENIT JA ANABOLISET STEROIDIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932C,MUNASARJAN HORM,MUNASARJAN HORMONIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932D,INSULIINI,INSULIINI,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932E,HYPOF ETUL HORM,HYPOFYYSIN ETULOHKON HORMONIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932F,HYPOF TAKAL HOR,HYPOFYYSIN TAKALOHKON HORMONIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932G,LISÄKILPIRHORM,LISÄKILPIRAUHASHORMONI,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932H,KILPIRAUHASHORM,KILPIRAUHASHORMONIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932K,TYREOSTAATIT,TYREOSTAATIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932V,ORAAL DIABLÄÄK,ORAALISET DIABETESLÄÄKKET,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E932X,MUUT HORMONIT,MUUT/NUD HORMONIT,E93.2,NA,no_match,E932,Hormones and synthetic substitutes,parent_match,0
E933,ALLERG LÄÄK,"ALLERGIA-, SYÖPÄ-,HAPPO-EMÄSTP HÄIR LÄÄKKEET JA AIN",E93.3,NA,no_match,E933,Primarily systemic agents,full_match,0
E933A,ANTIHISTAM,ANTIHISTAMIINIT,E93.3,NA,no_match,E933,Primarily systemic agents,parent_match,0
E933B,SYTOSTAATIT,SYTOSTAATIT,E93.3,NA,no_match,E933,Primarily systemic agents,parent_match,0
